Epoch,o_acc,o_valacc,Ex1_trainacc,Ex1_valacc,Ex2_trainacc,Ex2_valacc
1,0.4565,0.5272,0.503400028,0.627799988,0.5176200270652771,0.6287000179290771
2,0.5903,0.6315,0.638400018,0.657800019,0.6636800169944763,0.6722000241279602
3,0.5903,0.6188,0.692300022,0.662699997,0.7246000170707703,0.6090999841690063
4,0.6792,0.6545,0.735759974,0.661899984,0.771619975566864,0.6460000276565552
5,0.7003,0.6957,0.777639985,0.695500016,0.8147199749946594,0.661300003528595
6,0.7191,0.716,0.817979991,0.678200006,0.8528000116348267,0.6723999977111816
7,0.7341,0.6897,0.850740016,0.694599986,0.8808199763298035,0.6489999890327454
8,0.7467,0.5946,0.880479991,0.699199975,0.8982399702072144,0.6438999772071838
9,0.7582,0.7047,0.900860012,0.691500008,0.9145399928092957,0.6600000262260437
10,0.7697,0.7092,0.917760015,0.699299991,0.9240999817848206,0.6452999711036682
